gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
5058,2019,1,THU,GB,CHI,Soldier Field,65,69,10,E,Clear,Grass,46.5,3,10,3
5059,2019,1,SUN,ATL,MIN,U.S. Bank Stadium,,,,,Dome,UBU Speed Series S5M,47,4,12,28
5060,2019,1,SUN,BAL,MIA,Hard Rock Stadium,91,56,8,SSE,Mostly Cloudy,Grass,39.5,-6.5,59,10
5061,2019,1,SUN,BUF,NYJ,MetLife Stadium,77,46,6,WNW,Mostly Sunny,UBU Speed Series S5M,40.5,2.5,17,16
5062,2019,1,SUN,KC,JAC,TIAA Bank Field,91,54,6,WSW,Clear,Grass,51.5,-3.5,40,26
5063,2019,1,SUN,LA,CAR,Bank of America Stadium,87,53,3,NNE,Sunny,Grass,50,-1.5,30,27
5064,2019,1,SUN,TEN,CLE,FirstEnergy Stadium,71,55,10,NE,Partly Cloudy,Grass,45.5,5.5,43,13
5065,2019,1,SUN,WAS,PHI,Lincoln Financial Field,79,49,4,W,Sunny,DD GrassMaster,44.5,10,27,32
5066,2019,1,SUN,CIN,SEA,CenturyLink Field,64,82,7,S,Cloudy,FieldTurf,44.5,9.5,20,21
5067,2019,1,SUN,IND,LAC,Dignity Health Sports Park,77,52,10,SW,Sunny,Grass,44.5,6.5,24,30
5068,2019,1,SUN,DET,ARI,State Farm Stadium,,,,,Closed Roof,Grass,46,-2.5,27,27
5069,2019,1,SUN,NYG,DAL,AT&T Stadium,,,,,Closed Roof,Hellas Matrix Turf,45.5,7.5,17,35
5070,2019,1,SUN,SF,TB,Raymond James Stadium,93,52,9,SW,Cloudy,Grass,51,1,31,17
5071,2019,1,SN,PIT,NE,Gillette Stadium,66,62,2,NW,Cloudy,FieldTurf,49.5,5.5,3,33
5072,2019,1,MN,HOU,NO,Mercedes-Benz Superdome,,,,,Dome,FieldTurf,52.5,7,28,30
5073,2019,1,MN,DEN,OAK,Oakland-Alameda County Coliseum,68,66,15,W,Clear,Grass,43,-1,16,24
5074,2019,2,THU,TB,CAR,Bank of America Stadium,85,55,3,ENE,Cloudy,Grass,48,6.5,20,14
5075,2019,2,SUN,ARI,BAL,M&T Bank Stadium,82,60,8,NNW,Sunny,Grass,46.5,13,17,23
5076,2019,2,SUN,BUF,NYG,MetLife Stadium,79,48,5,NNW,Fair,UBU Speed Series S5M,44,-2,28,14
5077,2019,2,SUN,DAL,WAS,FedEx Field,80,46,7,WNW,Sunny,Grass,46.5,-6,31,21
5078,2019,2,SUN,IND,TEN,Nissan Stadium,93,45,1,NE,Sunny,Grass,43.5,3.5,19,17
5079,2019,2,SUN,JAC,HOU,NRG Stadium,,,,,Closed Roof,UBU Speed Series S5M,43.5,8.5,12,13
5080,2019,2,SUN,LAC,DET,Ford Field,,,,,Dome,FieldTurf,47.5,-1.5,10,13
5081,2019,2,SUN,MIN,GB,Lambeau Field,72,75,5,S,Cloudy,DD GrassMaster,43,2.5,16,21
5082,2019,2,SUN,NE,MIA,Hard Rock Stadium,87,67,4,S,Mostly Cloudy,Grass,48.5,-19,43,0
5083,2019,2,SUN,SF,CIN,Paul Brown Stadium,81,45,5,E,Mostly Sunny,Shaw Sports Momentum Pro,46,1,41,17
5084,2019,2,SUN,SEA,PIT,Heinz Field,81,51,3,S,Sunny,Grass,47,3.5,28,26
5085,2019,2,SUN,KC,OAK,Oakland-Alameda County Coliseum,70,61,13,WSW,Sunny,Grass,53.5,-7,28,10
5086,2019,2,SUN,CHI,DEN,Broncos Stadium at Mile High,87,14,3,E,Mostly Sunny,Grass,40,-2.5,16,14
5087,2019,2,SUN,NO,LA,Los Angeles Memorial Coliseum,85,44,4,N,Cloudy,Grass,52,2,9,27
5088,2019,2,SN,PHI,ATL,Mercedes-Benz Stadium,,,,,Closed Roof,FieldTurf,52.5,-2,20,24
5089,2019,2,MN,CLE,NYJ,MetLife Stadium,72,69,3,N,Cloudy,UBU Speed Series S5M,44,-6.5,23,3
