pid,psr,ints,iry
829413,MT-1800,AA-0543,0
829437,MR-2500,AH-1300,0
829524,MR-2500,AH-1300,0
829592,RF-0500,ET-0200,14
829707,JR-3250,MH-3742,0
829750,JA-1087,CM-3250,17
829809,JA-1087,NH-1225,4
830036,GM-1350,FC-0150,5
830200,JG-1850,JB-4975,0
830216,CN-0500,CL-0987,26
830363,BM-0650,KB-2850,28
830372,BM-0650,LR-0600,0
830394,BM-0650,MB-5250,38
830853,PR-0300,MH-3250,26
830910,KM-3500,TW-0152,0
831320,JG-0650,VH-0050,15
831338,JW-5650,MN-0900,1
831358,JW-5650,RS-1000,31
831418,JW-5650,AW-1850,25
831582,BR-1100,DM-1300,0
831622,DB-3800,WM-0550,2
831709,DW-1725,MW-2275,0
832329,EM-0200,TM-3450,0
832410,EM-0200,JP-4150,0
832442,DP-2037,MN-0550,23
832639,JB-5725,LR-0600,0
832982,MS-4100,CH-2250,0
833006,MS-4100,RJ-0650,0
833038,PR-0300,DS-2250,0
833112,KC-2350,PS-0550,5
833193,KC-2350,KK-0750,0
833288,RF-0500,DM-1300,0
833332,RF-0500,SG-0650,54
833338,RF-0500,JC-3550,69
833372,JR-3250,JC-3550,5
833416,JG-0650,WJ-0150,19
833457,AD-0100,KA-0625,0
833638,MR-2350,BM-1250,0
833823,DC-0725,BB-2725,0
833837,DC-0725,CW-0637,10
834016,JF-1900,KF-0500,8
834050,DB-3800,JJ-3450,0
834241,CW-1425,DT-1970,0
834266,CW-1425,DT-1970,10
834288,MR-2500,SJ-0775,1
834315,MR-2500,RD-0050,13
834332,MR-2500,NG-0150,0
834515,BM-0650,DR-1950,13
