uid,gid,player,pat,fgs,fgm,fgl,fp,game,seas,year,team
10021,5058,EP-0512,0,1,0,0,3,1,2,2019,CHI
10022,5058,MC-3000,1,1,0,0,4,1,13,2019,GB
10023,5059,DB-0200,4,0,0,0,4,1,9,2019,MIN
10024,5060,JT-3950,8,1,0,0,11,1,8,2019,BAL
10025,5060,JS-0350,1,0,0,1,6,1,2,2019,MIA
10026,5061,KV-0250,0,0,0,0,0,1,2,2019,NYJ
10027,5061,SH-0400,2,0,1,0,6,1,12,2019,BUF
10028,5062,HB-0500,4,3,1,0,17,1,3,2019,KC
10029,5062,JL-0207,2,2,0,0,8,1,5,2019,JAC
10030,5063,JS-3825,3,0,1,1,12,1,1,2019,CAR
10031,5063,GZ-2000,3,1,1,1,15,1,8,2019,LA
10032,5064,AS-0575,1,0,0,0,1,1,1,2019,CLE
10033,5064,CS-0250,5,1,0,1,13,1,6,2019,TEN
10034,5065,DH-3970,3,0,2,0,11,1,7,2019,WAS
10035,5065,JE-0250,3,1,0,0,6,1,3,2019,PHI
10036,5066,RB-4650,2,2,0,0,8,1,8,2019,CIN
10037,5066,JM-7000,3,0,0,0,3,1,5,2019,SEA
10038,5067,TL-1062,3,0,1,0,7,1,5,2019,LAC
10039,5067,AV-0400,1,0,1,0,5,1,24,2019,IND
10040,5068,MP-2100,3,1,0,1,11,1,14,2019,DET
10041,5068,ZG-0050,1,3,1,0,14,1,3,2019,ARI
10042,5069,AR-1450,2,1,0,0,5,1,4,2019,NYG
10043,5069,BM-0062,5,0,0,0,5,1,7,2019,DAL
10044,5070,RG-1500,2,2,1,0,12,1,15,2019,SF
10045,5070,MG-0306,2,1,0,0,5,1,1,2019,TB
10046,5071,SG-0800,3,3,1,0,16,1,14,2019,NE
10047,5071,CB-2275,0,1,0,0,3,1,6,2019,PIT
10048,5072,KF-0075,4,0,0,0,4,1,4,2019,HOU
10049,5072,WL-0300,3,1,1,1,15,1,4,2019,NO
10050,5073,DC-0450,3,1,0,0,6,1,2,2019,OAK
10051,5073,BM-1650,1,3,0,0,10,1,7,2019,DEN
10052,5074,MG-0306,2,1,1,0,9,2,1,2019,TB
10053,5074,JS-3825,0,2,0,2,16,2,1,2019,CAR
10054,5075,JT-3950,2,2,0,1,13,2,8,2019,BAL
10055,5075,ZG-0050,0,3,0,0,9,2,3,2019,ARI
10056,5076,AR-1450,2,0,0,0,2,2,4,2019,NYG
10057,5076,SH-0400,4,0,0,0,4,2,12,2019,BUF
10058,5077,DH-3970,3,0,0,0,3,2,7,2019,WAS
10059,5077,BM-0062,4,1,0,0,7,2,7,2019,DAL
10060,5078,AV-0400,1,0,0,0,1,2,24,2019,IND
10061,5078,CS-0250,2,0,1,0,6,2,6,2019,TEN
10062,5079,KF-0075,1,2,0,0,7,2,4,2019,HOU
10063,5079,JL-0207,0,1,1,0,7,2,5,2019,JAC
10064,5080,TL-1062,1,1,0,0,4,2,5,2019,LAC
10065,5080,MP-2100,1,0,0,0,1,2,14,2019,DET
10066,5081,MC-3000,3,0,0,0,3,2,13,2019,GB
10067,5081,DB-0200,1,1,0,0,4,2,9,2019,MIN
10068,5082,SG-0800,4,1,0,0,7,2,14,2019,NE
10069,5083,RG-1500,5,2,0,0,11,2,15,2019,SF
10070,5083,RB-4650,2,1,0,0,5,2,8,2019,CIN
10071,5084,CB-2275,2,1,1,0,9,2,6,2019,PIT
10072,5084,JM-7000,4,0,0,0,4,2,5,2019,SEA
10073,5085,DC-0450,1,1,0,0,4,2,2,2019,OAK
10074,5085,HB-0500,4,0,0,0,4,2,3,2019,KC
10075,5086,BM-1650,0,1,1,0,7,2,7,2019,DEN
10076,5086,EP-0512,1,0,1,2,15,2,2,2019,CHI
10077,5087,GZ-2000,3,2,0,0,9,2,8,2019,LA
10078,5087,WL-0300,0,1,1,1,12,2,4,2019,NO
10079,5088,MB-4600,3,0,0,1,8,1,18,2019,ATL
10080,5088,JE-0250,0,1,1,0,7,2,3,2019,PHI
10081,5089,AS-0575,2,1,2,0,13,2,1,2019,CLE
10082,5089,SF-0050,0,0,1,0,4,1,4,2019,NYJ
